Num;Name;Overview;Platform;Year_of_Release;Genre;Publisher;NA_players;EU_players;JP_players;Other_players;Global_players;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating;console;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
377;Brink;Brink is an immersive first-person shooter that blends single-player. co-op. and multiplayer gameplay into one seamless experience. allowing you to develop;X360;2011;Shooter;Bethesda Softworks;0.59;0.35;0.01;0.09;01.03;68.0;85.0;5.8;404.0;Splash Damage;T;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
379;Tomb Raider;"Tomb Raider es la novena entrega de la saga. que da un reinicio total a la saga Tomb Raider y a Lara Croft. En esta entrega hay muertes pertubadoras y fuertes.
 Primer videojuego: Tomb Raider; (‎1996‎)‎
 Fecha(s) de lanzamiento: 25 de octubre de 19";PS;1996;Action;Eidos Interactive;2.29;1.97;0.13;0.24;4.63;91.0;13.0;8.6;147.0;Core Design Ltd.;T;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
380;Street Fighter Alpha 3;Street Fighter Alpha 3 es un videojuego de peleas 1 vs 1. que es la tercera parte de la sub-saga alpha a su vez de la saga Street Fighter.;PS;1998;Fighting;Virgin Interactive;0.38;0.12;0.51;0.02;01.03;93.0;12.0;8.5;46.0;Capcom;T;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
381;Sonic Unleashed;Sonic dispondrá de nuevas habilidades tales como derrapar y un deslizamiento lateral. Cuando se hace de noche. Sonic se transformará en un erizo-lobo y la;Wii;2008;Platform;Sega;1.26;0.67;0.02;0.21;2.16;66.0;30.0;7.3;136.0;Sonic Team;E10+;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
382;Sonic Generations;3 nov 2011 — Sonic Generations: The ultimate celebration of 20 Years of Sonic gaming. Sonic Generations delivers the definitive experience for Sonic fans new;PS3;2011;Platform;Sega;0.6;0.69;0.02;0.26;1.58;76.0;38.0;8.2;253.0;Sega;E;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
383;Harry Potter and the Prisoner of Azkaban;Harry Potter y el prisionero de Azkaban (título original en inglés. Harry Potter and the Prisoner of Azkaban) es la tercera película de la serie Harry;PS2;2004;Action;Electronic Arts;0.5;0.39;0.0;0.13;01.02;70.0;29.0;8.7;29.0;EA Games;E;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
385;The Simpsons Game;Los Simpson: el videojuego (originalmente en inglés. The Simpsons Game) es un videojuego de acción y plataforma basado en la serie animada de televisión Los;PS2;2007;Action;Electronic Arts;0.35;0.03;0.0;1.13;1.51;68.0;10.0;8.2;27.0;Electronic Arts;T;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M
386;Assassin's Creed: Rogue;Assassin's Creed: Rogue es un videojuego de acción-aventura y sigilo de ficción histórica. desarrollado por Ubisoft Sofia y publicado por Ubisoft.;PS3;2014;Action;Ubisoft;0.46;0.56;0.06;0.2;1.29;72.0;53.0;7.5;292.0;Ubisoft Sofia;M;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
387;Prince of Persia;Prince of Persia (traducido como «Príncipe de Persia») es una serie de videojuegos de plataformas iniciada en 1989. Su éxito se debe a la notable fluidez de;PS3;2008;Action;Ubisoft;0.47;0.4;0.03;0.17;01.07;85.0;59.0;7.3;245.0;Ubisoft Montreal;T;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;T
388;God of War: Ghost of Sparta;"God of War: Ghost of Sparta es un videojuego de acción-aventura en tercera persona desarrollado por Ready at Dawn Studios y SCE Santa Monica Studio.
 Modos de juego: Un jugador
 Formato(s): UMD DL; ‎BD-ROM DL‎
 Requisitos: Ver lista1.80 GB (descargado) y ve";PSP;2010;Action;Sony Computer Entertainment;0.41;0.35;0.03;0.21;1.0;86.0;73.0;8.4;255.0;Ready at Dawn;M;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;M
389;NFL Fever 2002;NFL Fever 2002 is an American football video game published and developed by Microsoft Game Studios. It was released on November 15. 2001 as a launch title;XB;2000;Sports;Microsoft Game Studios;0.74;0.21;0.0;0.04;0.99;79.0;24.0;8.5;10.0;Microsoft Game Studios;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
391;Apollo Justice: Ace Attorney;Apollo Justice: Ace Attorney (逆転裁判4. Gyakuten Saiban 4) es un videojuego para la consola Nintendo DS. secuela de Phoenix Wright: Ace Attorney: Trials;DS;2007;Adventure;Capcom;0.28;0.04;0.64;0.03;0.99;78.0;48.0;8.1;84.0;Capcom;T;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;T
392;Dark Souls;Dark Souls (ダークソウル. Dāku Souru) es un videojuego de rol de acción. desarrollado por la empresa From Software para las plataformas PlayStation 3.;PS3;2011;Role-Playing;Namco Bandai Games;0.75;0.51;0.54;0.22;02.02;89.0;54.0;8.7;1397.0;From Software;M;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;M
